step, en to de, de to en
768, 23.56, 25.21
256, 22.74, 25.58
1024, 24.82, 28.15
512, 23.74, 27.2
1280, 24.69, 28.09
768, 24.53, 28.04
1536, 25.85, 29.24
1024, 24.99, 29.22
1792, 25.7, 29.47
1280, 25.54, 28.92
2048, 26.4, 29.56
1536, 25.76, 29.33
2304, 26.57, 29.86
1792, 25.55, 29.34
2560, 27.24, 30.13
2048, 25.87, 29.43
2816, 27.41, 30.43
2304, 25.87, 30.12
3072, 27.28, 29.93
2560, 26.51, 30.25
3328, 27.18, 30.37
2816, 26.87, 30.27
3584, 27.87, 30.72
3072, 26.78, 30.13
3840, 27.95, 31.01
3328, 26.63, 30.28
4096, 27.93, 31.58
3584, 27.4, 30.67
4352, 28.77, 31.14
3840, 27.19, 31.03
4608, 29.12, 31.53
4096, 27.85, 31.15
4864, 29.54, 31.69
4352, 28.6, 31.07
5120, 28.95, 31.63
4608, 29.01, 31.56
5376, 29.68, 31.62
4864, 28.74, 31.18
5632, 29.61, 31.77
5120, 28.97, 31.76
5888, 29.77, 31.89
5376, 29.86, 31.78
6144, 29.5, 32.07
5632, 29.42, 31.87
5888, 29.47, 32.07
6144, 29.3, 32.03
