step, en to ne, ne to en
256, 0.02, 0.18
512, 0.04, 0.19
768, 0.07, 0.14
1024, 0.06, 0.12
1280, 0.06, 0.14
1536, 0.07, 0.17
1792, 0.09, 0.15
2048, 0.1, 0.14
2304, 0.08, 0.09
2560, 0.09, 0.15
2816, 0.09, 0.15
3072, 0.09, 0.16
3328, 0.09, 0.1
3584, 0.09, 0.19
3840, 0.08, 0.09
4096, 0.1, 0.16
4352, 0.08, 0.15
4608, 0.08, 0.16
4864, 0.08, 0.16
5120, 0.1, 0.17
5376, 0.09, 0.17
5632, 0.09, 0.22
5888, 0.09, 0.19
6144, 0.11, 0.21
6400, 0.11, 0.24
6656, 0.1, 0.26
6912, 0.11, 0.29
7168, 0.1, 0.21
7424, 0.1, 0.3
7680, 0.11, 0.36
7936, 0.11, 0.34
8192, 0.12, 0.38
