step, en to si, si to en
256, 0.31, 0.25
512, 0.18, 0.13
768, 0.11, 0.09
1024, 0.13, 0.2
1280, 0.14, 0.29
1536, 0.18, 0.4
1792, 0.3, 1.09
2048, 0.46, 1.57
2304, 0.85, 3.66
2560, 1.06, 4.62
2816, 0.85, 4.62
3072, 1.15, 4.94
3328, 1.39, 4.6
3584, 1.21, 4.59
3840, 1.22, 4.57
4096, 1.42, 4.26
4352, 1.4, 4.57
4608, 1.27, 4.55
4864, 1.47, 4.71
5120, 1.52, 4.67
5376, 1.68, 4.74
5632, 1.66, 4.63
5888, 1.57, 4.59
6144, 1.59, 4.19
6400, 1.53, 4.58
6656, 1.71, 4.47
6912, 1.71, 4.61
7168, 1.63, 4.93
7424, 1.62, 4.89
7680, 1.43, 4.74
7936, 1.68, 4.69
8192, 1.59, 4.7
