step, en to zh, zh to en
256, 0.12, 0.18
512, 0.51, 0.2
768, 0.77, 0.92
1024, 7.26, 4.68
1280, 10.56, 6.22
1536, 11.7, 6.81
1792, 12.17, 6.96
2048, 11.55, 7.49
2304, 13.48, 7.71
2560, 13.7, 7.95
2816, 14.5, 8.09
3072, 15.48, 8.22
3328, 15.24, 8.27
3584, 16.08, 8.33
3840, 16.33, 8.18
4096, 16.23, 8.51
4352, 16.39, 8.45
4608, 16.63, 8.7
4864, 16.81, 8.8
5120, 17.22, 8.6
5376, 16.66, 8.81
5632, 16.39, 8.97
5888, 16.69, 8.89
6144, 17.0, 8.96
6400, 16.67, 8.8
6656, 16.3, 8.91
6912, 16.1, 9.07
7168, 17.18, 8.98
7424, 16.74, 9.17
7680, 16.53, 9.09
7936, 16.38, 8.8
8192, 16.86, 8.81
